timestamp, temperature.gpu, temperature.memory, power.draw [W]
2026/06/03 09:29:10.194, 56, N/A, 150.56 W
2026/06/03 09:29:15.318, 57, N/A, 152.62 W
2026/06/03 09:29:20.319, 59, N/A, 166.03 W
2026/06/03 09:29:25.319, 60, N/A, 153.53 W
2026/06/03 09:29:30.320, 63, N/A, 193.63 W
2026/06/03 09:29:35.320, 61, N/A, 170.12 W
2026/06/03 09:29:40.321, 58, N/A, 115.42 W
2026/06/03 09:29:45.321, 61, N/A, 152.90 W
2026/06/03 09:29:50.322, 62, N/A, 156.79 W
2026/06/03 09:29:55.323, 64, N/A, 176.15 W
2026/06/03 09:30:00.323, 65, N/A, 195.71 W
2026/06/03 09:30:05.324, 68, N/A, 174.91 W
2026/06/03 09:30:10.324, 62, N/A, 118.94 W
2026/06/03 09:30:15.325, 62, N/A, 120.68 W
2026/06/03 09:30:20.325, 65, N/A, 157.98 W
2026/06/03 09:30:25.326, 65, N/A, 158.90 W
2026/06/03 09:30:30.326, 66, N/A, 159.73 W
2026/06/03 09:30:35.327, 66, N/A, 163.27 W
2026/06/03 09:30:40.327, 67, N/A, 166.05 W
2026/06/03 09:30:45.328, 68, N/A, 166.00 W
2026/06/03 09:30:50.328, 68, N/A, 165.53 W
2026/06/03 09:30:55.328, 70, N/A, 174.93 W
2026/06/03 09:31:00.329, 68, N/A, 169.72 W
2026/06/03 09:31:05.329, 65, N/A, 120.57 W
2026/06/03 09:31:10.330, 68, N/A, 161.57 W
2026/06/03 09:31:15.330, 68, N/A, 161.59 W
2026/06/03 09:31:20.331, 64, N/A, 121.86 W
2026/06/03 09:31:25.331, 65, N/A, 124.28 W
2026/06/03 09:31:30.332, 67, N/A, 156.13 W
2026/06/03 09:31:35.332, 68, N/A, 163.08 W
2026/06/03 09:31:40.333, 65, N/A, 122.46 W
2026/06/03 09:31:45.333, 64, N/A, 125.75 W
2026/06/03 09:31:50.334, 65, N/A, 126.46 W
2026/06/03 09:31:55.335, 68, N/A, 160.13 W
2026/06/03 09:32:00.335, 68, N/A, 163.93 W
2026/06/03 09:32:05.336, 69, N/A, 166.87 W
2026/06/03 09:32:10.336, 71, N/A, 186.31 W
2026/06/03 09:32:15.336, 70, N/A, 182.01 W
2026/06/03 09:32:20.337, 71, N/A, 164.04 W
2026/06/03 09:32:25.337, 70, N/A, 171.57 W
2026/06/03 09:32:30.338, 71, N/A, 162.90 W
2026/06/03 09:32:35.338, 71, N/A, 165.55 W
2026/06/03 09:32:40.339, 70, N/A, 177.79 W
2026/06/03 09:32:45.339, 72, N/A, 177.77 W
2026/06/03 09:32:50.340, 72, N/A, 176.50 W
2026/06/03 09:32:55.340, 73, N/A, 172.59 W
2026/06/03 09:33:00.340, 73, N/A, 180.42 W
2026/06/03 09:33:05.341, 73, N/A, 190.46 W
2026/06/03 09:33:10.341, 74, N/A, 189.98 W
2026/06/03 09:33:15.342, 74, N/A, 179.78 W
2026/06/03 09:33:20.342, 72, N/A, 173.14 W
2026/06/03 09:33:25.343, 71, N/A, 174.30 W
2026/06/03 09:33:30.344, 72, N/A, 180.52 W
2026/06/03 09:33:35.344, 73, N/A, 173.59 W
2026/06/03 09:33:40.344, 73, N/A, 175.28 W
2026/06/03 09:33:45.345, 73, N/A, 173.56 W
2026/06/03 09:33:50.345, 73, N/A, 177.91 W
2026/06/03 09:33:55.346, 73, N/A, 179.24 W
2026/06/03 09:34:00.346, 72, N/A, 161.99 W
2026/06/03 09:34:05.347, 72, N/A, 179.25 W
2026/06/03 09:34:10.347, 74, N/A, 179.70 W
2026/06/03 09:34:15.348, 74, N/A, 176.37 W
2026/06/03 09:34:20.348, 73, N/A, 181.93 W
2026/06/03 09:34:25.349, 73, N/A, 177.10 W
2026/06/03 09:34:30.349, 74, N/A, 180.86 W
2026/06/03 09:34:35.350, 75, N/A, 189.89 W
2026/06/03 09:34:40.350, 73, N/A, 178.69 W
2026/06/03 09:34:45.350, 75, N/A, 190.74 W
2026/06/03 09:34:50.351, 73, N/A, 182.17 W
2026/06/03 09:34:55.351, 75, N/A, 189.53 W
2026/06/03 09:35:00.352, 73, N/A, 191.76 W
2026/06/03 09:35:05.352, 73, N/A, 188.54 W
2026/06/03 09:35:10.353, 72, N/A, 173.66 W
2026/06/03 09:35:15.353, 73, N/A, 176.74 W
2026/06/03 09:35:20.354, 73, N/A, 163.42 W
2026/06/03 09:35:25.354, 73, N/A, 177.40 W
2026/06/03 09:35:30.355, 72, N/A, 179.68 W
2026/06/03 09:35:35.355, 76, N/A, 169.17 W
2026/06/03 09:35:40.356, 75, N/A, 183.21 W
2026/06/03 09:35:45.356, 74, N/A, 185.99 W
2026/06/03 09:35:50.357, 73, N/A, 178.15 W
2026/06/03 09:35:55.358, 75, N/A, 189.24 W
2026/06/03 09:36:00.358, 73, N/A, 190.88 W
2026/06/03 09:36:05.359, 74, N/A, 178.95 W
2026/06/03 09:36:10.359, 74, N/A, 172.93 W
2026/06/03 09:36:15.360, 75, N/A, 178.64 W
2026/06/03 09:36:20.360, 73, N/A, 186.39 W
2026/06/03 09:36:25.360, 73, N/A, 178.88 W
2026/06/03 09:36:30.361, 77, N/A, 182.63 W
2026/06/03 09:36:35.361, 73, N/A, 176.62 W
2026/06/03 09:36:40.362, 73, N/A, 182.52 W
2026/06/03 09:36:45.362, 75, N/A, 189.60 W
2026/06/03 09:36:50.363, 73, N/A, 175.70 W
2026/06/03 09:36:55.363, 73, N/A, 187.70 W
2026/06/03 09:37:00.364, 73, N/A, 178.52 W
2026/06/03 09:37:05.364, 73, N/A, 176.54 W
2026/06/03 09:37:10.364, 74, N/A, 193.12 W
2026/06/03 09:37:15.365, 76, N/A, 178.87 W
2026/06/03 09:37:20.366, 76, N/A, 185.66 W
2026/06/03 09:37:25.366, 73, N/A, 181.89 W
2026/06/03 09:37:30.367, 73, N/A, 183.20 W
2026/06/03 09:37:35.367, 74, N/A, 186.23 W
2026/06/03 09:37:40.368, 74, N/A, 179.90 W
2026/06/03 09:37:45.368, 76, N/A, 192.62 W
2026/06/03 09:37:50.369, 74, N/A, 179.39 W
2026/06/03 09:37:55.369, 78, N/A, 191.96 W
2026/06/03 09:38:00.369, 75, N/A, 181.03 W
2026/06/03 09:38:05.370, 75, N/A, 188.95 W
2026/06/03 09:38:10.370, 75, N/A, 179.19 W
2026/06/03 09:38:15.387, 75, N/A, 174.64 W
2026/06/03 09:38:20.387, 73, N/A, 186.27 W
2026/06/03 09:38:25.388, 75, N/A, 171.88 W
2026/06/03 09:38:30.388, 74, N/A, 178.60 W
2026/06/03 09:38:35.388, 74, N/A, 190.70 W
2026/06/03 09:38:40.389, 72, N/A, 178.07 W
2026/06/03 09:38:45.390, 74, N/A, 190.42 W
2026/06/03 09:38:50.390, 75, N/A, 181.14 W
2026/06/03 09:38:55.391, 73, N/A, 169.28 W
2026/06/03 09:39:00.391, 73, N/A, 180.92 W
2026/06/03 09:39:05.392, 75, N/A, 184.60 W
2026/06/03 09:39:10.392, 75, N/A, 180.89 W
2026/06/03 09:39:15.393, 75, N/A, 183.60 W
2026/06/03 09:39:20.393, 76, N/A, 180.36 W
2026/06/03 09:39:25.394, 76, N/A, 198.20 W
2026/06/03 09:39:30.394, 73, N/A, 173.07 W
2026/06/03 09:39:35.394, 75, N/A, 187.19 W
2026/06/03 09:39:40.395, 73, N/A, 177.24 W
2026/06/03 09:39:45.395, 75, N/A, 182.30 W
2026/06/03 09:39:50.396, 76, N/A, 177.87 W
2026/06/03 09:39:55.396, 73, N/A, 176.91 W
2026/06/03 09:40:00.397, 72, N/A, 184.54 W
2026/06/03 09:40:05.397, 75, N/A, 185.89 W
2026/06/03 09:40:10.398, 74, N/A, 174.34 W
2026/06/03 09:40:15.398, 77, N/A, 181.16 W
2026/06/03 09:40:20.398, 73, N/A, 171.79 W
2026/06/03 09:40:25.399, 74, N/A, 172.55 W
